Product name,Company,Sales,Ratings,Review
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,3,Ok
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,Passes every drop test onto porcelain tile!
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,3,I returned it because it did not meet my needs but seemed to be a good selection for others.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,Only downside is that apparently Verizon no longer uses V-Cast Music with Rhapsody.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,We knew the phone would be a used one and it met our expectations. I gave it a 4 star rating because it was a used phone.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,I can hear very well on it. It is easy to use. I don't lnow what else to say. The clarity of sound is what is so important to me.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,2,"This phone started out working beautifully for the last few weeks, (although the punctuation for texting is very inconvenient and lacking). If you get a properly working phone, it seems pretty solid. The camera has bad resolution, so if you are set on a good camera, this is not for you. Overall it has good audio and is solidly built; not sure if the malfunctioning is typical or not. Last night it started acting crazy. When the phone is shut, it keeps activating the ""Voice Command"" function, and shows a microphone icon indicating that it is listening for my voice prompt. Then if there is noise, it sometimes starts randomly calling people based on what it maybe thinks it's hearing. I also think that this prevents it from going into standby mode, therefore it is wasting my battery power. I looked into various Settings menus, but it seems there is no way to shut this function off. Secondly, it has recently started pulling up a ""No Caller ID # Available!"" Alert Message in front of every text message I get, even though I can see the person's name attached message before I try to open it. Furthermore, when I try to hit ""Ok"" to acknowledge the alert, it pops right back up, over and over again, so I can't read my texts. It does this even for old texts. I tried turning it off and taking the battery out, I even tried a factory reset function, and I'm still having the same problems. I also noticed that after I reset it, when it was going through the set up, that the basic ringtones weren't playing at all, even when they said they were, I could hear nothing! And I can't hear a dial tone when I call people. Screwed up! Hopefully it's not a common issue for this phone. It would've been good until this started."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,"The product did everything I expected,would recommend this phone;or the convoy2 to anyone.Very please with the phone,thank you,very much.thanks again"
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,"I liked his rating, I am pleased with the phone so far, I need to get a SD Card for it to see if it works okay. Love the loud ring tone, and the battery life is unbelievable on this phone. I gave my new one to my daughter-in-law and kept this one because I prefer it to the other. Thanks."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,We have one of these phones already and love it. I got one for my son and this was by far the best price for this phone on the internet.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,"This phone is durable, and does fit in the clip case and fully opens so it does not have to be removed everytime you need to use the phone. Extremely easy activation!"
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,"Had this phone before for 2 years, so when that one finally broke(dropped it while open and it split right in half) I got another one. 2 years is a good lifespan for any phone."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,I bought this phone for my daughter. I guess being used to modern smartphones I found this one cumbersome but it serves its purpose. The only thing I don't like is the lanyard hole is so small you cant get anything through it.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,The phone works good but the battery was no good .I write to the company and sent me 2 more batterys so they tryed to make good on the deal .
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,"Much better than I expected. This phone has everything one needs. Good reception, music, long battery charge, internet, camera, video,etc.... Switched back from a Smart Phone to this and could not be happier. Holds a 16 GB Micro SD card for all the music that can be easily transferred from Windows Media Player."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,2,"Phone didn't work right at first; not readable also words were upside down, strange stuff. Then several days later started working okay and could see and read the front dial. I almost sent it back, then decided to see if it kept working okay, still seems to be working. J. N."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,1,"This product was damaged.. The antenna in the device did not work, was not even able to use this product"
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,"Exactly what I was looking for. Phone is durable, in decent condition, and works great. Likes just like a new phone"
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,3,phone lasted a few months...then no longer rings...it was used so I didn't expect it to last long. But can still make calls
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,Great phone awesome battery life very durable has been in water (: also got the the phone from the buyer at a nice price
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,"I bought the phone to replace the one I got with my contract...my dog ate my phone. Really he did and it worked okay except for the screen which finally died. This one is slightly different: no light, different charger connection and body glove doesn't fit perfectly, all things I can work around. I use it as a phone only and it does it well. Sound is clear, screen is sharp, I can still use my old case and I'm familiar with its operation and feel."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,"Couldn't ask for more from a simple, easy to use phone. I would definitely purchase this again if need be."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,3,I ordered this phone as a rugged simple phone to use which did meet those requirements. When I received the phone I started to sign up with Verizon service only to be told this was not a new phone and had already had a service plan from May 2013 to just before I purchased it as new. This raised red flags for me so I returned the phone. The refund process went through easily but I am still searching for a cell phone.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,This was the second Convoy we've ordered for a family member. We've found these to be a very good basic phone. The numbers light up and the buttons are just the right size for manly fingers. My husband had his in his pocket while fishing and had to step out into a pond to release a fish that was hooked and snagged on a log near the ponds edge. Little did he know when he stepped into the pond that the water was waist deep. He quickly pulled his phone out of his pocket and tossed it to his cousin. The phone had gotten wet but is still working great. After that experience his cousin had to have one too.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,"I will not hesitate to order from this company again. I got my order in less then three days, and the phone is great,better then i had hoped for, thanks"
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,Bought this to hold the place of another cell on our plan until the plan expires. Expected a worn out phone but to my surprise this one was in pristine condition!
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,Great phone! This little phone has great reception and holds up very well.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,I have had this phone for over a month and it has not needed re-charging yet! Very happy - Samsung should be commended.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,I have dropped this phone more times than I want to admit. It is the best phone I have ever had. I like these phones. Samsung makes a good product.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,3,Acted up then the screen went blank and didn't work after that. Was too late to return it.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,Needed a plain flip phone... Perfect!!!
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,I Samsung has never failed to give me expected performance and user friendly features.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,1,Does not look al scratched up on right side in photo
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,It was better than what I expected and it arrived when it was supposed to and had a great price.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,"Phone works great, excellent price and quick delivery!"
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,Fast shipping and phone is fantastic!
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,awesome
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,Love this phone. It's got a wonderfully solid weight and feel in the hand. Sound quality is excellent. It arrived sooner than anticipated.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,Good not fancy work phone ..
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,takes time to get used to it.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,4,The phone arrived as expected.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,1,Phone didn't work. Returned the item and never got money back
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,Came in excellent condition. Pleased with purchase.
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,3,good
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,3,"THIS IS THE SECOND ONE I HAVE. THE OTHER I KEEP FOR MY SPARE BACK UP, BUT I NEVER HAVE HAD TO USE IT . THE RECONITIONED ONE IS OK ,BUT THE EAR BUD PLUG DOESNT WORK."
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,My Samsung cell phone works well without any problems unlike my previous cell phone. Maybe I should not be replying as you have too many rules!
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,"This is my second Samsung. It's sturdy, easy to use and FANTASTIC! It's very sturdy for I have dropped it a couple of times and there was no problem at all!"
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,5,"Just need a phone to make and receive calls. I am under an old Verizon contract that is much better that I can get by updating and signing a new contract. (Man that ticks Verizon off.) Anyway, I have gone through several different phones over the years and have found that the Convoy U640 is very dependable. The battery life is outstanding!"
Samsung Convoy U640 Phone for Verizon Wireless Network with No Contract (Gray) Rugged,Samsung,79.95,1,"I received the unit, it smelled like used women's make up. Something was wrong with it from the get go, I didn't start using it until about a month after I purchased it so I didn't return it. The problems with this phone just got worse and worse. Piece of crap. Vendor should test items before they sell them."
